,GDP per capita (constant prices),Human Capital Index,Population growth (annual percentage),Capital stock at constant national prices,Gini coefficient,Annual percentage change in consumer price index
1961,15427.1318,2.571570158,0.760459939,2712982.5,0.261,4.196498882
1962,15464.82661,2.589919567,0.848661388,2826336,0.248,2.01854356
1963,16095.44214,2.608399868,0.748366449,2945149,0.271,3.281586947
1964,16885.79277,2.627012014,0.650257749,3130285.25,0.264,4.773774554
1965,17135.07448,2.64575696,0.642468779,3306248.25,0.251,3.909617792
1966,17307.97522,2.664635658,0.551303249,3471607.75,0.261,2.482115605
1967,17692.8584,2.683649302,0.53854377,3653941.5,0.251,4.697427988
1968,18570.51844,2.702798367,0.48676828,3856676.25,0.25,5.44666363
1969,18852.07565,2.722084284,0.415803269,4046189,0.257,6.366568417
1970,19285.64976,2.74150753,0.398722458,4227484,0.259,9.444837423
1971,19878.3584,2.763754129,0.417666617,4407585,0.266,7.071098395
1972,20667.2422,2.78618145,0.339057516,4577447.5,0.269,9.196033167
1973,21973.0492,2.808790445,0.193198186,4766246,0.259,16.04401119
1974,21413.64234,2.831583261,0.06305921,4936887,0.251,24.20728767
1975,21099.64656,2.854560852,-0.007423363,5090930,0.243,16.55952256
1976,21719.0455,2.877724648,-0.024603833,5246908,0.243,15.84026675
1977,22260.16201,2.901076794,-0.032873848,5388120.5,0.24,8.263141039
1978,23194.79395,2.924618244,0.005359908,5533850.5,0.24,13.42127998
1979,24042.78769,2.948350906,0.089728661,5682264,0.253,17.96592427
1980,23526.25549,2.972275972,0.119517254,5801163.5,0.257,11.87662651
1981,23332.80258,2.994034052,0.034821732,5878170,0.263,8.598863833
1982,23806.7981,3.015951633,-0.035842794,5979037,0.261,4.609303273
1983,24803.42717,3.038029432,0.034101374,6099056.5,0.268,4.960710978
1984,25326.12967,3.060268641,0.158261863,6256941,0.27,6.07139434
1985,26316.71542,3.082670927,0.226951225,6426020.5,0.282,3.427609404
1986,27082.98194,3.105237246,0.23161023,6596319,0.291,4.148922321
1987,28482.86667,3.12796855,0.212637261,6806586,0.305,4.155351716
1988,30048.82066,3.15086627,0.222063894,7087939,0.323,5.760249092
1989,30743.22751,3.173931837,0.26031145,7390801.5,0.327,8.063460909
1990,30876.37063,3.197166204,0.298930554,7647216,0.339,7.461782957
1991,30441.48135,3.227114201,0.309247932,7835370.5,0.341,4.591549296
1992,30481.03489,3.257342815,0.270431182,8027692.5,0.34,2.558577969
1993,31165.15446,3.287854671,0.239745439,8219691,0.34,2.219012605
1994,32281.48015,3.318652153,0.254586487,8452176,0.332,2.697495183
1995,33011.29456,3.349738359,0.264547417,8693445,0.333,2.851782364
1996,33777.52809,3.381115437,0.254626384,8959383,0.333,2.201143135
1997,35349.79065,3.412786484,0.257553323,9163011,0.34,1.820561637
1998,36446.26169,3.444754601,0.291406085,9404180,0.348,1.752950801
1999,37435.88444,3.477021933,0.333405882,9640411,0.346,1.182956242
2000,38921.89657,3.509591341,0.357300887,9890288,0.353,1.532349603
2001,39769.87196,3.528481245,0.38497597,10140705,0.348,1.520402459
2002,40312.9824,3.547472715,0.42333708,10387785,0.342,1.376500385
2003,41390.60621,3.566566467,0.465641114,10635793,0.338,1.390397567
2004,42167.35571,3.585762978,0.568943113,10881525,0.339,2.08913649
2005,43023.22769,3.605062723,0.686611306,11144025,0.344,2.455661664
2006,43724.89572,3.624466658,0.735048678,11415205,0.35,2.386561508
2007,44524.57071,3.643974781,0.778666112,11698124,0.357,3.521408563
2008,44065.61566,3.663587809,0.787032622,11934048,0.355,1.961731736
2009,41712.8319,3.683306456,0.75639086,12079841,0.356,2.492654725
2010,42311.43299,3.703131437,0.783888647,12244237,0.336,3.856112447
2011,42459.963,3.7108953,0.781506562,12393157,0.339,2.573234797
2012,42802.02078,3.718675613,0.695353132,12549945,0.335,2.291666667
2013,43281.57642,3.726472139,0.669740536,12724573,0.342,1.451120163
2014,44336.53786,3.734284878,0.736463979,12936150,0.339,0.368046842
2015,44964.39114,3.742114305,0.792367506,13176753,0.345,1.008417368
2016,45482.46686,3.749960184,0.757874493,13438341,0.335,2.557755776
2017,46374.58112,3.757822275,0.679374474,13706323,0.34,2.292839903
2018,46742.14812,3.765700817,0.605929132,13962962,0.349,1.738104601
2019,47234.24661,3.773596048,0.564131113,14219198,0.35,0.989486704
